"admin_region","academic_year_start_for_merge","admissions_bachelor_per_1000_youth_20_24","hei_count_per_1000_youth_20_24","students_total_per_1000_youth_20_24","expansion_index_main","high_expansion_region"
"Surkhandarya region",2021,41.7251170415941,0.0295772981560667,168.628627444352,-0.709929048773271,0
"Surkhandarya region",2022,45.3140079350895,0.0312756907459699,226.230475033063,-0.912014247960335,0
"Surkhandarya region",2023,69.6466959528928,0.0373866716515562,315.0107486681,-0.81014176501296,0
"Surkhandarya region",2024,76.8181536363073,0.0333846821539797,365.729192996848,-0.836217963639591,0
"Syrdarya region",2020,23.1709340264337,0.0276502792678206,132.679865066637,-0.929663743782784,0
"Syrdarya region",2021,64.2055489090184,0.0284851592320401,238.76260468296,-0.527809857835028,1
"Syrdarya region",2022,75.1199812712162,0.0438955870303172,314.936205080183,-0.562077940684996,1
"Syrdarya region",2023,81.0158972926072,0.044118295857292,341.034426976867,-0.687028418667797,1
"Syrdarya region",2024,75.5088347125923,0.0447327219861329,355.222545291881,-0.747968431307683,0
"Tashkent city",2020,267.824163671551,0.282001658833287,1025.77826928394,7.03019438190071,1
"Tashkent city",2021,499.150722160124,0.367107195301028,1485.86363337498,7.15493354021641,1
"Tashkent city",2022,582.194525285756,0.432325277320849,1866.50111771901,7.12637514616853,1
"Tashkent city",2023,762.498757318739,0.497072504565218,2570.85376126916,7.12184417777882,1
"Tashkent city",2024,751.219410730814,0.509604484519464,2804.73828169688,7.07957331067809,1
"Tashkent region",2020,39.7076694713914,0.0336398767098519,119.879905640146,-0.561110415458465,0
"Tashkent region",2021,49.6881154884116,0.0355677276223419,190.411829826207,-0.571690196128287,0
"Tashkent region",2022,90.02006862797,0.048126206163042,290.677472604157,-0.40789878200452,1
"Tashkent region",2023,130.53857148529,0.0645174097748839,360.185810140152,-0.228226548349915,1
"Tashkent region",2024,111.011556743459,0.0809933838529565,527.874379261644,-0.236770259620348,1
