model_sample,subgroup_type,wave_year,subgroup_value,included,n,weight_sum,share_within_status,weighted_share_within_status
category_model_included,region,2016,Jizzakh region,TRUE,82,1087953.97,0.06919831223628692,0.07263455898352777
category_model_included,region,2016,Karakalpakstan republic,TRUE,115,1384552.55,0.0970464135021097,0.09243623042137417
category_model_included,region,2016,Khorezm region,FALSE,7,84128.43,0.12962962962962962,0.12459376129489885
category_model_included,region,2016,Khorezm region,TRUE,93,1323029.24,0.07848101265822785,0.08832877862444119
category_model_included,region,2016,Namangan region,FALSE,6,79147.78,0.1111111111111111,0.11721744490347877
category_model_included,region,2016,Namangan region,TRUE,156,1953074.6300000001,0.13164556962025317,0.13039220254140596
category_model_included,region,2016,Navoi region,FALSE,5,59158.920000000006,0.09259259259259259,0.087614048627129
category_model_included,region,2016,Navoi region,TRUE,39,589693.2999999999,0.03291139240506329,0.039369416319185946
category_model_included,region,2016,Samarkand region,FALSE,10,141320.18,0.18518518518518517,0.20929444152318233
category_model_included,region,2016,Samarkand region,TRUE,215,2839950.9,0.18143459915611815,0.18960230565303493
category_model_included,region,2016,Sirdarya region,FALSE,2,38984.08,0.037037037037037035,0.05773521695128794
category_model_included,region,2016,Sirdarya region,TRUE,45,521571.93,0.0379746835443038,0.03482146134706179
category_model_included,region,2016,Tashkent city,FALSE,2,36462.36,0.037037037037037035,0.05400056292609607
category_model_included,region,2016,Tashkent city,TRUE,163,1807786.47,0.13755274261603376,0.12069239747784409
category_model_included,region,2016,Tashkent region,FALSE,14,163829.24,0.25925925925925924,0.2426302407127376
category_model_included,region,2016,Tashkent region,TRUE,166,2075496.96,0.140084388185654,0.13856542695574942
category_model_included,region,2022,Andijan region,TRUE,74,1076619.5392594012,0.09536082474226804,0.061316406962711824
category_model_included,region,2022,Bukhara region,TRUE,43,299169.73069641157,0.055412371134020616,0.01703852873683194
category_model_included,region,2022,Fergana region,FALSE,2,30671.24796402601,0.13333333333333333,0.21508106674584945
category_model_included,region,2022,Fergana region,TRUE,100,3016267.9861462433,0.12886597938144329,0.17178465428406195
category_model_included,region,2022,Jizzakh region,FALSE,1,19090.99052116628,0.06666666666666667,0.13387491149181013
category_model_included,region,2022,Jizzakh region,TRUE,33,1410028.2150183574,0.04252577319587629,0.08030493661711312
category_model_included,region,2022,Karakalpakstan republic,TRUE,32,388655.03488732013,0.041237113402061855,0.02213495986116972
category_model_included,region,2022,Kashkadarya region,TRUE,78,2820791.836618809,0.10051546391752578,0.16065175663651127
category_model_included,region,2022,Khorezm region,TRUE,46,1711119.520283393,0.059278350515463915,0.09745290424480896
category_model_included,region,2022,Namangan region,TRUE,65,669969.1757736584,0.08376288659793814,0.03815656426082417
category_model_included,region,2022,Navoi region,TRUE,38,1326252.5433034422,0.04896907216494845,0.07553368457019237
category_model_included,region,2022,Samarkand region,FALSE,2,8532.890704845307,0.13333333333333333,0.05983660128131836
category_model_included,region,2022,Samarkand region,TRUE,77,1910775.0506236614,0.09922680412371133,0.1088238289812495
category_model_included,region,2022,Sirdarya region,FALSE,3,16337.449273664668,0.2,0.1145657986204992
category_model_included,region,2022,Sirdarya region,TRUE,6,69742.43320718287,0.007731958762886598,0.003972020998284172
category_model_included,region,2022,Surkhandarya region,TRUE,64,343521.49925549986,0.08247422680412371,0.01956448241992763
category_model_included,region,2022,Tashkent city,FALSE,5,53274.2787269532,0.3333333333333333,0.3735840391022927
category_model_included,region,2022,Tashkent city,TRUE,57,781953.150640984,0.07345360824742268,0.0445343557887305
category_model_included,region,2022,Tashkent region,FALSE,2,14696.34088753098,0.13333333333333333,0.1030575827582301
category_model_included,region,2022,Tashkent region,TRUE,63,1733559.387604601,0.08118556701030928,0.0987309156375828
module_b_included,gender_group,2010,female,FALSE,143,1649412.0654296875,0.680952380952381,0.7094674007744076
module_b_included,gender_group,2010,female,TRUE,544,6600852.179199219,0.5958378970427163,0.5948407971399116
module_b_included,gender_group,2010,male,FALSE,67,675447.4892578125,0.319047619047619,0.2905325992255923
module_b_included,gender_group,2010,male,TRUE,369,4495986.1865234375,0.40416210295728366,0.4051592028600884
module_b_included,gender_group,2016,female,FALSE,35,470887.32,0.6481481481481481,0.6973816383459748
module_b_included,gender_group,2016,female,TRUE,643,8862299.68,0.5426160337552742,0.5916695435530782
module_b_included,gender_group,2016,male,FALSE,19,204334.53,0.35185185185185186,0.3026183616540253
module_b_included,gender_group,2016,male,TRUE,542,6116162.16,0.4573839662447257,0.4083304564469218
module_b_included,gender_group,2022,female,FALSE,12,126442.53700030099,0.8,0.8866739224948877
module_b_included,gender_group,2022,female,TRUE,516,9046900.783368753,0.6649484536082474,0.5152455718627447
module_b_included,gender_group,2022,male,FALSE,3,16160.661077885448,0.2,0.11332607750511238
module_b_included,gender_group,2022,male,TRUE,260,8511524.319950212,0.33505154639175255,0.4847544281372552
module_b_included,cohort,2010,25-34,FALSE,61,938887.1650390625,0.28773584905660377,0.40384683158431245
module_b_included,cohort,2010,25-34,TRUE,316,5038249.83203125,0.34611171960569553,0.4540257022751674
module_b_included,cohort,2010,35-44,FALSE,47,569800.91796875,0.22169811320754718,0.24509046872095497
module_b_included,cohort,2010,35-44,TRUE,293,3536190.5615234375,0.3209200438116101,0.31866649265131936
module_b_included,cohort,2010,45-54,FALSE,60,599064.349609375,0.2830188679245283,0.2576776512807025
module_b_included,cohort,2010,45-54,TRUE,202,2016199.0654296875,0.2212486308871851,0.18169130692734814
module_b_included,cohort,2010,55-64,FALSE,44,217107.1220703125,0.20754716981132076,0.09338504841403003
module_b_included,cohort,2010,55-64,TRUE,102,506198.90673828125,0.11171960569550932,0.04561649814616509
