subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
cohort,55-64,2016,downward_mobility_rate,0.09884011028403117,0.020454932425610403,0.05874917942363426,0.13893104114442809,212.88201694912394,266,ok
cohort,55-64,2022,downward_mobility_rate,0.12521040463716637,0.04614085195354531,0.034775996592222996,0.21564481268210975,51.44851094778419,113,ok
cohort,55-64,2010,persistence_probability,0.3566547087114823,0.04751320441571534,0.2635305392665908,0.4497788781563738,101.6397167432305,102,ok
cohort,55-64,2016,persistence_probability,0.44597140731602747,0.034068272235098625,0.3791988207197283,0.5127439939123266,212.88201694912394,266,ok
cohort,55-64,2022,persistence_probability,0.5932403997240957,0.06848537853102757,0.45901152433568904,0.7274692751125024,51.44851094778419,113,ok
cohort,55-64,2010,rank_rank_slope,0.2911308773647649,0.08993414172317146,0.1127041016431321,0.4695576530863977,101.6397167432305,102,ok
cohort,55-64,2016,rank_rank_slope,0.24501609420542983,0.055186339145792414,0.13635471686702416,0.3536774715438355,212.88201694912394,266,ok
cohort,55-64,2022,rank_rank_slope,0.303287585718443,0.08729501838934613,0.13030667921987257,0.4762684922170134,51.44851094778419,113,ok
cohort,55-64,2010,upward_mobility_rate,0.5547886338038702,0.04929639672438598,0.4581694716564754,0.651407795951265,101.6397167432305,102,ok
cohort,55-64,2016,upward_mobility_rate,0.4551884823999415,0.034131021334097546,0.38829290982954207,0.5220840549703409,212.88201694912394,266,ok
cohort,55-64,2022,upward_mobility_rate,0.281549195638738,0.06270313547469178,0.1586533083906063,0.40444508288686964,51.44851094778419,113,ok
gender,female,2010,downward_mobility_rate,0.24773733274143642,0.01920434904218559,0.21009750027221638,0.2853771652106565,505.31452907053193,544,ok
gender,female,2016,downward_mobility_rate,0.17437308551949127,0.017446098412087253,0.14017936096105882,0.20856681007792371,473.0060095621682,643,ok
gender,female,2022,downward_mobility_rate,0.09324962903472109,0.018555283658938826,0.0568819413402764,0.12961731672916577,245.58376824716404,516,ok
gender,female,2010,persistence_probability,0.4471542483601921,0.022118199766930795,0.4038033734141455,0.49050512330623863,505.31452907053193,544,ok
gender,female,2016,persistence_probability,0.5866260494138469,0.022642214247942292,0.5422481249576403,0.6310039738700535,473.0060095621682,643,ok
gender,female,2022,persistence_probability,0.6471209555719274,0.03049339902166695,0.5873549917232512,0.7068869194206036,245.58376824716404,516,ok
gender,female,2010,rank_rank_slope,0.121034976578364,0.03892059653558983,0.04458128359175753,0.19748866956497046,505.31452907053193,544,ok
gender,female,2016,rank_rank_slope,0.37755672008473706,0.03556597697839165,0.30771681566072984,0.4473966245087443,473.0060095621682,643,ok
gender,female,2022,rank_rank_slope,0.23758159140714027,0.03678092986486531,0.1653221443887462,0.30984103842553434,245.58376824716404,516,ok
gender,female,2010,upward_mobility_rate,0.30510841889837154,0.020483526495080433,0.26496144469164196,0.3452553931051011,505.31452907053193,544,ok
gender,female,2016,upward_mobility_rate,0.2390008650666618,0.01960913736064846,0.200567662071892,0.27743406806143156,473.0060095621682,643,ok
gender,female,2022,upward_mobility_rate,0.2596294153933515,0.02797703563899357,0.20479543314673057,0.31446339763997244,245.58376824716404,516,ok
gender,male,2010,downward_mobility_rate,0.27483106130913293,0.02421237896229836,0.22737567056299288,0.322286452055273,339.9617711468603,369,ok
gender,male,2016,downward_mobility_rate,0.19206348184855843,0.01944096300853419,0.15395989452705597,0.23016706917006088,410.5693152228404,542,ok
gender,male,2022,downward_mobility_rate,0.06844292161944127,0.019662637897744403,0.02990485949880988,0.10698098374007264,164.91283104861378,260,ok
gender,male,2010,persistence_probability,0.4044016459207841,0.026617554999936184,0.35223219676439516,0.45657109507717303,339.9617711468603,369,ok
gender,male,2016,persistence_probability,0.5279669988344455,0.024637482325275285,0.47967842080716383,0.5762555768617272,410.5693152228404,542,ok
gender,male,2022,persistence_probability,0.6998995822115649,0.03568814243286325,0.6299521083680173,0.7698470560551125,164.91283104861378,260,ok
gender,male,2010,rank_rank_slope,0.1445840512583386,0.04588104066929382,0.054361327178501576,0.23480677533817562,339.9617711468603,369,ok
gender,male,2016,rank_rank_slope,0.20813248963693928,0.04075714200615887,0.12807051403561331,0.28819446523826525,410.5693152228404,542,ok
gender,male,2022,rank_rank_slope,0.2673741109645036,0.049193616628214414,0.17050197290636454,0.36424624902264263,164.91283104861378,260,ok
gender,male,2010,upward_mobility_rate,0.320767292770083,0.025315662256895827,0.2711495065017872,0.37038507903837875,339.9617711468603,369,ok
gender,male,2016,upward_mobility_rate,0.279969519316996,0.02215835788367066,0.23653993590845232,0.3233991027255396,410.5693152228404,542,ok
gender,male,2022,upward_mobility_rate,0.23165749616899386,0.032852875256463444,0.16726704387773844,0.2960479484602493,164.91283104861378,260,ok
urban_rural,rural,2010,downward_mobility_rate,0.2688361024738015,0.019984468529421484,0.2296672639059613,0.3080049410416418,492.1722502711382,526,ok
urban_rural,rural,2016,downward_mobility_rate,0.19277669526820548,0.017248470097959698,0.15897031508778842,0.22658307544862255,523.0546439053011,683,ok
urban_rural,rural,2022,downward_mobility_rate,0.08798676226282208,0.018445435563535693,0.051834372879137856,0.1241391516465063,235.85258958457604,491,ok
urban_rural,rural,2010,persistence_probability,0.42719952847458054,0.022297619695674672,0.3834969969300872,0.47090206001907386,492.1722502711382,526,ok
urban_rural,rural,2016,persistence_probability,0.5571977606508585,0.021718811412486026,0.5146296724953684,0.5997658488063485,523.0546439053011,683,ok
urban_rural,rural,2022,persistence_probability,0.641187144041502,0.03123245162954119,0.5799726636987119,0.7024016243842921,235.85258958457604,491,ok
urban_rural,rural,2010,rank_rank_slope,0.1473813799061839,0.03920176723427995,0.07036944870622527,0.22439331110614255,492.1722502711382,526,ok
urban_rural,rural,2016,rank_rank_slope,0.309888437731632,0.03544174311236618,0.2403002199783406,0.3794766554849234,523.0546439053011,683,ok
urban_rural,rural,2022,rank_rank_slope,0.19162960205978502,0.037456288340711984,0.11803447239379397,0.2652247317257761,235.85258958457604,491,ok
urban_rural,rural,2010,upward_mobility_rate,0.30396436905161794,0.02073330390065945,0.2633278401258016,0.34460089797743426,492.1722502711382,526,ok
urban_rural,rural,2016,upward_mobility_rate,0.250025544080936,0.01893397917703365,0.21291562680991874,0.28713546135195334,523.0546439053011,683,ok
urban_rural,rural,2022,upward_mobility_rate,0.27082609369567584,0.028936132724017523,0.2141123157047306,0.3275398716866211,235.85258958457604,491,ok
urban_rural,urban,2010,downward_mobility_rate,0.25746547038138823,0.028635541519226686,0.20134084032590255,0.3135901004368739,233.14432353305702,254,ok
urban_rural,urban,2016,downward_mobility_rate,0.17107785806395856,0.019294846061482688,0.133260654696208,0.20889506143170913,380.91222281304493,502,ok
urban_rural,urban,2022,downward_mobility_rate,0.0695993749987207,0.01970668926524802,0.030974973784312486,0.1082237762131289,166.74314773666006,285,ok
urban_rural,urban,2010,persistence_probability,0.4641489065816227,0.03266166375240678,0.40013322195174805,0.5281645912114974,233.14432353305702,254,ok
urban_rural,urban,2016,persistence_probability,0.5678258659270703,0.025381922683514836,0.518078211609001,0.6175735202451396,380.91222281304493,502,ok
urban_rural,urban,2022,persistence_probability,0.726889205817339,0.03450480239141532,0.6592610358364934,0.7945173757981845,166.74314773666006,285,ok
urban_rural,urban,2010,rank_rank_slope,0.1724213278149894,0.05494783609943199,0.06420583047228796,0.28063682515769084,233.14432353305702,254,ok
urban_rural,urban,2016,rank_rank_slope,0.30273666810776906,0.04130130052959015,0.2215911836440818,0.3838821525714563,380.91222281304493,502,ok
urban_rural,urban,2022,rank_rank_slope,0.36114150171126036,0.04656782554829619,0.26947823568844553,0.4528047677340752,166.74314773666006,285,ok
urban_rural,urban,2010,upward_mobility_rate,0.27838562303698905,0.029353748371619273,0.22085333341736402,0.3359179126566141,233.14432353305702,254,ok
urban_rural,urban,2016,upward_mobility_rate,0.26109627600897123,0.022505144829605448,0.21698700267608675,0.30520554934185573,380.91222281304493,502,ok
urban_rural,urban,2022,upward_mobility_rate,0.20351141918394042,0.03117885558407027,0.14240198515998714,0.2646208532078937,166.74314773666006,285,ok
