"file","module","var"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig_province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig_district"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig_reason"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","immig_year"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_return"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_year"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_return_year"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_country"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_val"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_food"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_educ"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_health"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_savings"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_housing"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_travel"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_recreation"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_debt"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_wedding"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_car"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_other"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_use_other_txt"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_remit_method"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_work_legal"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_work_legally"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_work_agency"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","m00uuid"
