sample_label,survey_year,admin_region,cohort_exposure_group,low_parent_education,n
full_linked,2025,Surkhandarya region,partial_overlap_1_2,1,37
full_linked,2025,Surkhandarya region,partial_overlap_3,0,70
full_linked,2025,Surkhandarya region,partial_overlap_3,1,30
full_linked,2025,Syrdarya region,full_overlap_4,0,93
full_linked,2025,Syrdarya region,full_overlap_4,1,12
full_linked,2025,Syrdarya region,partial_overlap_1_2,0,90
full_linked,2025,Syrdarya region,partial_overlap_1_2,1,18
full_linked,2025,Syrdarya region,partial_overlap_3,0,63
full_linked,2025,Syrdarya region,partial_overlap_3,1,9
full_linked,2025,Tashkent city,full_overlap_4,0,59
full_linked,2025,Tashkent city,full_overlap_4,1,7
full_linked,2025,Tashkent city,partial_overlap_1_2,0,79
full_linked,2025,Tashkent city,partial_overlap_1_2,1,5
full_linked,2025,Tashkent city,partial_overlap_3,0,55
full_linked,2025,Tashkent city,partial_overlap_3,1,10
full_linked,2025,Tashkent region,full_overlap_4,0,106
full_linked,2025,Tashkent region,full_overlap_4,1,64
full_linked,2025,Tashkent region,partial_overlap_1_2,0,79
full_linked,2025,Tashkent region,partial_overlap_1_2,1,48
full_linked,2025,Tashkent region,partial_overlap_3,0,77
full_linked,2025,Tashkent region,partial_overlap_3,1,33
no_migration_signal,2025,Andijan region,full_overlap_4,0,58
no_migration_signal,2025,Andijan region,full_overlap_4,1,36
no_migration_signal,2025,Andijan region,partial_overlap_1_2,0,80
no_migration_signal,2025,Andijan region,partial_overlap_1_2,1,45
no_migration_signal,2025,Andijan region,partial_overlap_3,0,50
no_migration_signal,2025,Andijan region,partial_overlap_3,1,26
no_migration_signal,2025,Bukhara region,full_overlap_4,0,59
no_migration_signal,2025,Bukhara region,full_overlap_4,1,37
no_migration_signal,2025,Bukhara region,partial_overlap_1_2,0,55
no_migration_signal,2025,Bukhara region,partial_overlap_1_2,1,36
no_migration_signal,2025,Bukhara region,partial_overlap_3,0,41
no_migration_signal,2025,Bukhara region,partial_overlap_3,1,33
no_migration_signal,2025,Fergana region,full_overlap_4,0,76
no_migration_signal,2025,Fergana region,full_overlap_4,1,13
no_migration_signal,2025,Fergana region,partial_overlap_1_2,0,100
no_migration_signal,2025,Fergana region,partial_overlap_1_2,1,11
no_migration_signal,2025,Fergana region,partial_overlap_3,0,68
no_migration_signal,2025,Fergana region,partial_overlap_3,1,6
no_migration_signal,2025,Jizzakh region,full_overlap_4,0,63
no_migration_signal,2025,Jizzakh region,full_overlap_4,1,78
no_migration_signal,2025,Jizzakh region,partial_overlap_1_2,0,41
no_migration_signal,2025,Jizzakh region,partial_overlap_1_2,1,81
no_migration_signal,2025,Jizzakh region,partial_overlap_3,0,30
no_migration_signal,2025,Jizzakh region,partial_overlap_3,1,51
no_migration_signal,2025,Kashkadarya region,full_overlap_4,0,90
no_migration_signal,2025,Kashkadarya region,full_overlap_4,1,23
no_migration_signal,2025,Kashkadarya region,partial_overlap_1_2,0,96
no_migration_signal,2025,Kashkadarya region,partial_overlap_1_2,1,26
no_migration_signal,2025,Kashkadarya region,partial_overlap_3,0,61
no_migration_signal,2025,Kashkadarya region,partial_overlap_3,1,20
no_migration_signal,2025,Khorezm region,full_overlap_4,0,72
no_migration_signal,2025,Khorezm region,full_overlap_4,1,48
no_migration_signal,2025,Khorezm region,partial_overlap_1_2,0,74
no_migration_signal,2025,Khorezm region,partial_overlap_1_2,1,36
no_migration_signal,2025,Khorezm region,partial_overlap_3,0,56
no_migration_signal,2025,Khorezm region,partial_overlap_3,1,26
no_migration_signal,2025,Namangan region,full_overlap_4,0,50
no_migration_signal,2025,Namangan region,full_overlap_4,1,37
no_migration_signal,2025,Namangan region,partial_overlap_1_2,0,49
no_migration_signal,2025,Namangan region,partial_overlap_1_2,1,42
no_migration_signal,2025,Namangan region,partial_overlap_3,0,36
no_migration_signal,2025,Namangan region,partial_overlap_3,1,25
no_migration_signal,2025,Navoi region,full_overlap_4,0,52
no_migration_signal,2025,Navoi region,full_overlap_4,1,31
no_migration_signal,2025,Navoi region,partial_overlap_1_2,0,60
no_migration_signal,2025,Navoi region,partial_overlap_1_2,1,27
no_migration_signal,2025,Navoi region,partial_overlap_3,0,45
no_migration_signal,2025,Navoi region,partial_overlap_3,1,24
